symbol,fold_id,fold_test_start,fold_test_end,baseline_sharpe,gated_sharpe,delta_sharpe,baseline_expectancy,gated_expectancy,delta_expectancy,baseline_max_dd,gated_max_dd,delta_max_dd,baseline_trade_count,gated_trade_count,delta_trade_count,baseline_win_rate,gated_win_rate
AUDUSD,0,2020-04-05 16:00:00+00:00,2020-04-26 11:00:00+00:00,-1.5024721028475656,0.0,1.5024721028475656,0.0001803298744967709,0.0,-0.0001803298744967709,-0.006154575030793197,0.0,0.006154575030793197,4.0,0.0,-4.0,0.5,0.0
AUDUSD,1,2020-04-26 12:00:00+00:00,2020-05-17 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDUSD,2,2020-05-17 08:00:00+00:00,2020-06-07 03:00:00+00:00,-0.7065120314169043,-4.817701063263159,-4.111189031846254,0.0008824160930843318,-0.0007568951102267128,-0.0016393112033110447,-0.005595275928146348,-0.0022920427469993454,0.003303233181147003,5.0,1.0,-4.0,0.6,0.0
AUDUSD,3,2020-06-07 04:00:00+00:00,2020-06-27 23:00:00+00:00,-8.660758911666697,-5.0680789987584856,3.5926799129082116,-0.0010781139684804336,-0.0013372122611567004,-0.0002590982926762668,-0.007588463215008834,-0.003106562962855386,0.004481900252153448,3.0,1.0,-2.0,0.0,0.0
AUDUSD,4,2020-06-28 00:00:00+00:00,2020-07-18 19:00:00+00:00,-1.4696133970103435,0.0,1.4696133970103435,0.0007860615182766764,0.0,-0.0007860615182766764,-0.005862276578928904,0.0,0.005862276578928904,5.0,0.0,-5.0,0.6,0.0
AUDUSD,5,2020-07-18 20:00:00+00:00,2020-08-08 15:00:00+00:00,1.7519696529890505,-3.9114180175491944,-5.663387670538245,0.002345284915233098,-0.00027634073218298343,-0.0026216256474160815,-0.004777411413233623,-0.0024374634740317314,0.002339947939201892,4.0,1.0,-3.0,0.75,0.0
AUDUSD,6,2020-08-08 16:00:00+00:00,2020-08-29 11:00:00+00:00,-4.248026382186757,0.0,4.248026382186757,-0.0007419927486127685,0.0,0.0007419927486127685,-0.004300350409524256,0.0,0.004300350409524256,2.0,0.0,-2.0,0.0,0.0
AUDUSD,7,2020-08-29 12:00:00+00:00,2020-09-19 07:00:00+00:00,-7.125891346733652,-7.125891346733652,0.0,-0.0013103312072905325,-0.0013103312072905325,0.0,-0.005456590614701606,-0.005456590614701606,0.0,2.0,2.0,0.0,0.0,0.0
AUDUSD,8,2020-09-19 08:00:00+00:00,2020-10-10 03:00:00+00:00,4.778534121722281,4.778534121722281,0.0,0.003400406119232149,0.003400406119232149,0.0,-0.0020062740457331696,-0.0020062740457331696,0.0,3.0,3.0,0.0,1.0,1.0
AUDUSD,9,2020-10-10 04:00:00+00:00,2020-10-30 23:00:00+00:00,-2.377734938756731,-2.377734938756731,0.0,2.1741431155873337e-05,2.1741431155873337e-05,0.0,-0.00439269924690211,-0.00439269924690211,0.0,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333
AUDUSD,10,2020-10-31 00:00:00+00:00,2020-11-20 19:00:00+00:00,-5.120731978720368,-5.120731978720368,0.0,-1.7598589919655693e-05,-1.7598589919655693e-05,0.0,-0.004319429545884601,-0.004319429545884601,0.0,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333
AUDUSD,11,2020-11-20 20:00:00+00:00,2020-12-11 15:00:00+00:00,-1.3640661128207912,0.0,1.3640661128207912,0.00030296531038629965,0.0,-0.00030296531038629965,-0.004285519692439288,0.0,0.004285519692439288,3.0,0.0,-3.0,0.6666666666666666,0.0
AUDUSD,12,2020-12-11 16:00:00+00:00,2021-01-01 11:00:00+00:00,-1.6205790620652354,-1.561956336238811,0.05862272582642447,0.0003252895351675668,-0.00013650189432614073,-0.00046179142949370755,-0.0026272839176187945,-0.0017942760780413902,0.0008330078395774043,2.0,1.0,-1.0,0.5,0.0
AUDUSD,13,2021-01-01 12:00:00+00:00,2021-01-22 07:00:00+00:00,-0.5746307422204252,-0.45045953765581,0.12417120456461522,0.0011690402312084904,0.0005960242437557496,-0.0005730159874527407,-0.0040080909806657905,-0.0038586697811332504,0.00014942119953254007,4.0,2.0,-2.0,0.75,0.5
AUDUSD,14,2021-01-22 08:00:00+00:00,2021-02-12 03:00:00+00:00,-4.195825627241729,0.0,4.195825627241729,-0.00033127199470086004,0.0,0.00033127199470086004,-0.0018422232781079018,0.0,0.0018422232781079018,1.0,0.0,-1.0,0.0,0.0
EURUSD,0,2020-04-05 16:00:00+00:00,2020-04-26 11:00:00+00:00,1.4213029902709733,-2.1249084593663765,-3.54621144963735,0.0009878797880180097,-3.384426460240614e-05,-0.0010217240526204157,-0.005199253026922035,-0.005199253026922479,-4.440892098500626e-16,6.0,3.0,-3.0,0.5,0.3333333333333333
EURUSD,1,2020-04-26 12:00:00+00:00,2020-05-17 07:00:00+00:00,6.876979700502069,6.521801914759368,-0.3551777857427014,0.0021535190623041,0.0025116250912941757,0.00035810602899007593,-0.0021320602091842167,-0.0021320602091841057,1.1102230246251565e-16,5.0,3.0,-2.0,1.0,1.0
EURUSD,2,2020-05-17 08:00:00+00:00,2020-06-07 03:00:00+00:00,-0.23673414561909084,2.3214239161122077,2.5581580617312984,0.00023306373766848512,0.0012033914723653958,0.0009703277346969106,-0.003176650984669349,-0.001862686517089096,0.001313964467580253,3.0,2.0,-1.0,0.6666666666666666,1.0
EURUSD,3,2020-06-07 04:00:00+00:00,2020-06-27 23:00:00+00:00,4.847951618340369,6.163282067781406,1.3153304494410367,0.0023878059444895914,0.0034713888528122303,0.001083582908322639,-0.0017449039240067243,-0.0009146253874814381,0.0008302785365252863,2.0,1.0,-1.0,1.0,1.0
EURUSD,4,2020-06-28 00:00:00+00:00,2020-07-18 19:00:00+00:00,-1.8189160893602245,-3.1175918000014815,-1.298675710641257,0.00039419914081394235,-0.0007604549888473953,-0.0011546541296613376,-0.004599149643740641,-0.002129988903837976,0.002469160739902665,4.0,1.0,-3.0,0.25,0.0
EURUSD,5,2020-07-18 20:00:00+00:00,2020-08-08 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURUSD,6,2020-08-08 16:00:00+00:00,2020-08-29 11:00:00+00:00,-5.381611472979248,1.5991267256222197,6.980738198601468,-0.00016112206130062558,0.0008067137726526237,0.0009678358339532492,-0.007576109195010505,-0.0010857525678932278,0.0064903566271172775,6.0,1.0,-5.0,0.5,1.0
EURUSD,7,2020-08-29 12:00:00+00:00,2020-09-19 07:00:00+00:00,0.26497528821423627,3.369735054639253,3.104759766425017,0.0009739515606674182,0.001912540870098762,0.0009385893094313438,-0.003460805308601933,-0.0014499850161385774,0.0020108202924633556,3.0,2.0,-1.0,0.6666666666666666,1.0
EURUSD,8,2020-09-19 08:00:00+00:00,2020-10-10 03:00:00+00:00,4.372523046313633,0.0,-4.372523046313633,0.0024737083807085092,0.0,-0.0024737083807085092,-0.0022433317484773507,0.0,0.0022433317484773507,3.0,0.0,-3.0,0.6666666666666666,0.0
EURUSD,9,2020-10-10 04:00:00+00:00,2020-10-30 23:00:00+00:00,0.10053926390860078,-4.455210213925057,-4.5557494778336585,0.00111101382480382,-0.0006730376329582654,-0.0017840514577620852,-0.004744209952933454,-0.0021089874511670548,0.002635222501766399,5.0,1.0,-4.0,0.4,0.0
EURUSD,10,2020-10-31 00:00:00+00:00,2020-11-20 19:00:00+00:00,-7.06869737588444,-4.484757297956234,2.5839400779282062,-0.0009153870975836526,-0.001237310190527122,-0.00032192309294346944,-0.006489802200285166,-0.002479866265384767,0.004009935934900399,3.0,1.0,-2.0,0.0,0.0
EURUSD,11,2020-11-20 20:00:00+00:00,2020-12-11 15:00:00+00:00,0.41076409898538635,0.0,-0.41076409898538635,0.0006206878046271953,0.0,-0.0006206878046271953,-0.0020809445328857645,0.0,0.0020809445328857645,3.0,0.0,-3.0,0.6666666666666666,0.0
EURUSD,12,2020-12-11 16:00:00+00:00,2021-01-01 11:00:00+00:00,2.9120359583444273,0.0,-2.9120359583444273,0.0007830410128079389,0.0,-0.0007830410128079389,-0.0012861117724950466,0.0,0.0012861117724950466,4.0,0.0,-4.0,0.75,0.0
EURUSD,13,2021-01-01 12:00:00+00:00,2021-01-22 07:00:00+00:00,-4.964136064312666,0.0,4.964136064312666,-0.0008664402566915617,0.0,0.0008664402566915617,-0.0040108193684271765,0.0,0.0040108193684271765,2.0,0.0,-2.0,0.0,0.0
EURUSD,14,2021-01-22 08:00:00+00:00,2021-02-12 03:00:00+00:00,-3.2380619631125125,0.0,3.2380619631125125,-0.0004386137219663762,0.0,0.0004386137219663762,-0.004917913021792342,0.0,0.004917913021792342,3.0,0.0,-3.0,0.3333333333333333,0.0
GBPUSD,0,2020-04-05 16:00:00+00:00,2020-04-26 11:00:00+00:00,-1.1039474539029177,-3.1894764111156695,-2.0855289572127518,0.0006436120995127183,-0.00020159753653538538,-0.0008452096360481037,-0.003307589521267973,-0.002983563856890803,0.00032402566437716995,5.0,2.0,-3.0,0.8,0.5
GBPUSD,1,2020-04-26 12:00:00+00:00,2020-05-17 07:00:00+00:00,4.68604402589976,3.2667908062524793,-1.4192532196472811,0.0011580067186378244,0.001047030173019032,-0.00011097654561879238,-0.0016144516285347965,-0.0016144516285347965,0.0,5.0,3.0,-2.0,1.0,1.0
GBPUSD,2,2020-05-17 08:00:00+00:00,2020-06-07 03:00:00+00:00,-0.4480605957435343,1.6023628287833598,2.050423424526894,0.00047638717909501095,0.001114327059126871,0.00063793988003186,-0.003267736350909378,-0.0016445291119051575,0.0016232072390042207,3.0,1.0,-2.0,0.6666666666666666,1.0
GBPUSD,3,2020-06-07 04:00:00+00:00,2020-06-27 23:00:00+00:00,0.6440347894889397,1.1154625942167964,0.4714278047278567,0.0006859813888308189,0.0008811734551330417,0.00019519206630222278,-0.005516480165233095,-0.0032648842830566016,0.0022515958821764936,7.0,4.0,-3.0,0.7142857142857143,0.75
GBPUSD,4,2020-06-28 00:00:00+00:00,2020-07-18 19:00:00+00:00,-2.304388537815131,-4.925950720726084,-2.6215621829109534,0.0002209099837659817,-0.0010985728159884143,-0.001319482799754396,-0.002612198006455402,-0.002452590420922607,0.00015960758553279497,4.0,1.0,-3.0,0.5,0.0
GBPUSD,5,2020-07-18 20:00:00+00:00,2020-08-08 15:00:00+00:00,-4.0777334201495945,-4.264082296159634,-0.18634887601003935,-0.0002894420621732592,-0.0004038601475945478,-0.00011441808542128856,-0.005416123242830806,-0.004628123670544659,0.0007879995722861466,5.0,3.0,-2.0,0.4,0.3333333333333333
GBPUSD,6,2020-08-08 16:00:00+00:00,2020-08-29 11:00:00+00:00,-1.9065441792816396,0.4065336373695578,2.313077816651197,5.017240325668645e-05,0.0003865970112021692,0.00033642460794548274,-0.004932740527543666,-0.0006665722338847768,0.00426616829365889,6.0,1.0,-5.0,0.5,1.0
GBPUSD,7,2020-08-29 12:00:00+00:00,2020-09-19 07:00:00+00:00,-1.6021635502855307,0.0,1.6021635502855307,0.00027894698357270773,0.0,-0.00027894698357270773,-0.002750578320508401,0.0,0.002750578320508401,5.0,0.0,-5.0,0.6,0.0
GBPUSD,8,2020-09-19 08:00:00+00:00,2020-10-10 03:00:00+00:00,-2.780888093614217,-4.7423083760553295,-1.9614202824411127,-0.00010277838733955603,-0.0004479096022573734,-0.00034513121491781736,-0.004086504026489024,-0.004086504026489024,0.0,4.0,3.0,-1.0,0.5,0.3333333333333333
GBPUSD,9,2020-10-10 04:00:00+00:00,2020-10-30 23:00:00+00:00,-0.37795086160425867,0.0,0.37795086160425867,0.000504130536312403,0.0,-0.000504130536312403,-0.003521706982327122,0.0,0.003521706982327122,4.0,0.0,-4.0,0.75,0.0
GBPUSD,10,2020-10-31 00:00:00+00:00,2020-11-20 19:00:00+00:00,0.37500007584691963,-1.3906367907942327,-1.7656368666411524,0.00038341157133365606,-0.0003065248240664862,-0.0006899363954001423,-0.0029321369955991328,-0.0019242366116907217,0.001007900383908411,6.0,2.0,-4.0,0.6666666666666666,0.5
GBPUSD,11,2020-11-20 20:00:00+00:00,2020-12-11 15:00:00+00:00,1.3540803173608702,1.3540803173608702,0.0,0.0005918394156130342,0.0005918394156130342,0.0,-0.0023626836711262422,-0.0023626836711262422,0.0,4.0,4.0,0.0,0.75,0.75
GBPUSD,12,2020-12-11 16:00:00+00:00,2021-01-01 11:00:00+00:00,-2.7157428563992183,-2.214864421074295,0.5008784353249234,-2.968943151246137e-05,-9.312712164166162e-05,-6.343769012920024e-05,-0.005051504305114696,-0.003155708760711362,0.0018957955444033336,5.0,3.0,-2.0,0.4,0.3333333333333333
GBPUSD,13,2021-01-01 12:00:00+00:00,2021-01-22 07:00:00+00:00,-4.794866298099752,0.0,4.794866298099752,-0.00017776126339440085,0.0,0.00017776126339440085,-0.003682924026185197,0.0,0.003682924026185197,3.0,0.0,-3.0,0.3333333333333333,0.0
GBPUSD,14,2021-01-22 08:00:00+00:00,2021-02-12 03:00:00+00:00,-11.265897651715832,-6.007886960851508,5.2580106908643245,-0.0009286218934616457,-0.0014193431242357011,-0.0004907212307740554,-0.01165378879909762,-0.0020744259743664673,0.009579362824731152,7.0,1.0,-6.0,0.14285714285714285,0.0
